COMPANY_NAME,PT_SEAFOOD_DATABASE_ID,COUNTRY_HQ,MAIN_SEGMENT,SEG_FEED,SEG_FISHING,SEG_AQUACULTURE,SEG_PROCESSING,SEG_WHOLESALE,SEG_RETAIL,SEG_FOODSERVICE,DESCRIPTION,WEBSITE,REVENUE_USD_MN,MARKET_CAP_USD_MN,EBIT_MARGIN,RETURN_ON_EQUITY,ENTERPRISE_VALUE_USD_MN,NET_DEBT_EBITDA,SUSTAINABILITY_ASSESSMENT_CAT1_TRANSPARENCY_SCORE,SUSTAINABILITY_ASSESSMENT_CAT2_OCEAN_HEALTH_SCORE,SUSTAINABILITY_ASSESSMENT_CAT3_MANAGEMENT_GOVERNANCE_SCORE,SUSTAINABILITY_ASSESSMENT_CAT4_FISHING_PRACTICES_SCORE,SUSTAINABILITY_ASSESSMENT_CAT5_COMPLIANCE_ENFORCEMENT_SCORE,SUSTAINABILITY_ASSESSMENT_CAT6_STOCK_SUSTAINABILITY_SCORE,REPORTING_PRECISION,N_DISTINCT_COUNTRIES,N_DISTINCT_SPECIES,SPECIES_CLEAN,REGIONS
COMPANIA PESQUERA CAMANCHACA SA,ID_41,Chile,Integrated,No,Yes,Yes,Yes,Yes,No,No,"Camanchaca is a Chilean company with integrated operations spanning aquaculture, wild catch fishing, processing, and global distribution of seafood products.",http://www.camanchaca.cl,813.260085828,53.552726472,7.807598338,6.096967658,453.12172462,2.292038463,2,2,2,2,2,3,0.8381238572,3,10,"Atlantic Salmon, Chilean Salmon, Coho Salmon, Finfish, Mytilus Chilensis, Oncorhynchus Kisutch, Pleuroncodes Monodon, Salmo Salar, Shellfish, Trachurus Murphyi","Chile, Chile (Chiloé), Chile (Los Lagos And Aysén Regions)"
COOKE,ID_42,Canada,Aquaculture,No,Yes,Yes,Yes,Yes,Yes,Yes,"Cooke is a family-owned Canadian seafood company based in Blacks Harbour, engaged in aquaculture, wild-catch fishing, and processing. Its product portfolio features salmon, trout, sea bass, and mussels.",https://www.cookeseafood.com,,,,,,,1,2,2,1,1,2,0.7784630936,21,40,"Abalone, Alaska Crab, Alaska Halibut, Alaska Pollock, Argyrosomus Regius, Atlantic Salmon, Black Cod/Sablefish, Brevoortia Tyrannus, Chilean Atlantic Salmon, Coho H&G, Cold Ocean Salmon, Crayfish, Deep-Sea Red Crab, Dicentrarchus Labrax, Haddock, Kelly Cove Salmon, Lates Calcarifer, Mussel, Oyesters, Pacific Cod, Patagonia Silver Hake, Penaeus Monodon, Prawn, Roe Herring, Salmo Salar, Salmon, Scallops, Sea Bass, Seahorses, Seaweed, Shrimp, Southern King Crab, Sparus Aurata, Squid, Trout, Wild Alaska Salmon","Americas, Argentina, Australia (Queensland), Australia (Tasmania), Australia (Western Australia), Belgium, Canada, Canada (Atlantic Provinces), Chile, France, Honduras, Nicaragua, Scotland, Scotland (Orkney, Shetland, Mainland), Spain, United Kingdom, Uruguay, Us, Usa (Atlantic And Gulf Coasts), Usa (Maine), Usa (Washington)"
CORNELIS VROLIJK,ID_275,Netherlands,Integrated,No,Yes,No,Yes,Yes,No,No,"Cornelis Vrolijk is  aDutch family‑owned fishing group catching, farming, processing and trading pelagic and demersal fish plus shrimp, with vertically integrated supply chains from “ship to shelf” for products like North‑East Atlantic mackerel.",https://www.cornelisvrolijk.eu/,,,,,,,2,2,3,2,2,3,0.5293586416,7,12,"Clupea Harengus, Crangon Crangon, Micromesistius Poutassou, Mullus Surmuletus, Pleuronectes Platessa, Scomber Scombrus, Solea Solea, Trachurus Trachurus","Africa, Asia, Europe, Netherlands, North Sea, North Sea, English Channel, North-East Atlantic, North-East Atlantic, North Sea"
CORPESCA,ID_43,Chile,Fishing,No,Yes,No,Yes,Yes,No,No,"Corpesca is Chile's largest fishing company, engaged internationally in the production and distribution of fishmeal, fish oil, and other protein products.",,124.855115814,,-0.2756542718,-4.738560873,,,1,2,1,2,1,3,0.5905728152,2,8,"Anchoveta, Anchovy, Engraulis Ringens, Mackerel, Sardinops Sagax, Scomber Japonicus, Spanish Sardine, Trachurus Murphyi","Chile (Arica Y Parinacota, Tarapacá, Antofagasta Regions), Chile, China, Vietnam, Japan, Germany, Italy, Spain, Canada, Denmark"
CORPORACION EMPRESARIAL JEALSA SL,ID_44,Spain,Processing,No,Yes,No,Yes,No,No,No,"Jealsa is a Spanish company that manufactures and distributes fish and canned seafood, with additional operations in aquaculture and fishing.",http://www.jealsa.com,,,,2.349,,,1,2,3,2,1,2,0.5820090921,6,12,"Albacore Tuna, Bigeye Tuna, Clam, Mussel, Salmon, Scallop, Shellfish, Skipjack Tuna, Squid, Tuna, Yellowfin Tuna","Brazil, Guatemala, Italy, Italy.1, Portugal, Spain"
CP GROUP,ID_45,China,Aquaculture,Yes,No,Yes,Yes,Yes,Yes,Yes,"CP Group is a diversified, foreign-funded conglomerate operating in mainland China for over four decades, with extensive investments across numerous sectors including feed, food, beverages, agriculture, retail (Charoen Pokphand Lotus, CP Plaza, CP Le City, CP Center), real estate, pharmaceuticals, electrical, and e-commerce.",http://www.cpgroup.cn,,,,,,,2,3,3,0,2,2,0.6704855594,8,12,"Chanos Chanos, Crab, Crabs, Oreochromis, Pangasius, Penaeus Monodon, Prawn, Scortum Barcoo, Shrimp, Yellow Croaker","China, India, Malaysia, Philippines, Thailand, Thailand, Vietnam, India, Cambodia, Philippines, Malaysia, Laos, United States, Vietnam"
CP PRIMA,ID_46,Indonesia,Integrated,Yes,No,Yes,Yes,No,Yes,No,"CP Prima is a vertically integrated Indonesian aquaculture firm, specializing in the production and sale of feed, fry, pet food, probiotics, shrimp, and processed food products.",https://www.cpp.co.id/,585.693482675,,8.764265186,9.107426634,,1.632509562,2,1,2,0,1,1,0.05372283367,2,7,"Catfish, Cichlidae, Shrimp, Squid, Tilapia","India, Indonesia"
CUULONG FISH,ID_47,Viet Nam,Aquaculture,No,No,Yes,Yes,Yes,Yes,Yes,"Cuulong Fish is a leading Vietnamese company specializing in the farming and processing of Pangasius, with over 25 years in the industry.",https://clfish.com,72.366783528,,1.602833344,1.478741764,52.453849418,11.132668121,2,2,2,0,2,2,0.9045340237,2,5,"Pangasiidae, Pangasius Bocourti, Pangasius Hypophthalmus","An Giang Province, Vietnam, Dong Thap Province, Vietnam"
DAHU AQUACULTURE COMPANY LIMITED,ID_48,China,Aquaculture,No,No,Yes,Yes,Yes,Yes,No,"Dahu Aquaculture Company Limited (Great Lakes Aquaculture Company Limited), established in 1999, is a freshwater fishery enterprise with an integrated, transparent supply chain from production to consumer. The company currently focuses on the health industry, supplying organic aquatic products and liquor, and offering health-related services through rehabilitation nursing hospitals.",,141.964502436,,3.746723475,-9.199097531,408.43987381,4.065158303,1,0,1,0,1,0,0.6755649488,1,11,"Bighead Carp, Bighead Silver Carp, Bream, Carp, Clupeidae, Crucian Carp, Cyprinidae, Hairy Crabs, Mandarin Fish",China
DAI-ICHI SUISAN CO LTD,ID_49,Japan,Wholesale/Distribution,No,No,No,Yes,Yes,No,Yes,"Dai-ichi Suisan Co., Ltd., based in Tokyo, is a wholesaler of fresh, frozen, and processed seafood. The company is also active in marine product auctions and international trade.",https://www.daiichisuisan.co.jp,,,,,,,1,1,1,0,1,2,0.5057941427,12,45,"Abalone, Alfonsino, Amberjack, Aoyagi, Ark Clam, Bigeye Tuna, Blue Seaweed, Bluefin Tuna, Bonito, Clam, Firefly Squid, Fish, Flat Clams, Flatfish, Katsuwonus Pelamis, Marlin, Monkfish, Mullet, Mussel, Ostreidae, Oysters, Pectinidae, Pufferfish, Salmo Salar, Salmon, Scallop, Sea Squirt, Sea Urchin, Shellfish, Shirasu, Shrimp, Snow Crab, Striped Horse Mackerel, Thunnus Albacares, Thunnus Obesus, Thunnus Thynnus, Tilefish, Trachurus Japonicus, Turban Shell, Veneridae, Yellowfin Tuna, Yellowtail","Atlantic Ocean, Ehime, Indian Ocean, Japan, Kagawa, Kagoshima, Norway, Pacific Ocean, South Korea, Us, Usa, Worldwide"
DAIREI,ID_50,Japan,Processing,No,No,No,No,No,No,No,"Dairei is a Japanese company, founded in 1980, that specializes in providing advanced cryogenic preservation technology, initially developed for pelagic fishing, to the home and retail markets. The company manufactures affordable -50°C and -60°C freezers for the long-term storage of diverse foods including seafood, meats, and processed items.",https://dairei.co.jp,,,,,,,1,1,1,0,0,0,0.1273363001,6,5,"Abalone, Bonito, Crab, Salmon, Tuna","China, Europe, Japan, South Korea, Taiwan, Us"
DAISYO,ID_51,Japan,Wholesale/Distribution,No,No,No,Yes,Yes,Yes,Yes,"Daisyo is a Japanese company that operates a chain of pubs and seafood restaurants, alongside diversified business segments including wholesale, real estate, franchising, and foodstuff transportation.",https://www.daisyo.co.jp,335.556494857,69.782539233,1.964971652,12.956857881,192.709728375,2.508234918,1,1,1,1,2,2,0.420204712,2,6,"Bonito, Mackerel, Salmon, Squid, Thunnus Thynnus, Tuna","Australia, Japan"
DALIAN HAIBAO FOOD CO LTD,ID_52,China,Processing,No,No,Yes,Yes,Yes,No,No,"Dalian Haibao Food Co., Ltd. is a Chinese food company based in Dalian that specializes in producing and distributing diverse, high-quality seafood products to both domestic and international markets.",,,,,,,,1,1,1,0,1,0,,0,4,"Abalone, Kelp, Sea Cucumbers, Sea Urchin",
DALIAN HAIYANGDAO AQUATIC PRODUCTS GROUP CO LTD,ID_53,China,Aquaculture,No,No,Yes,Yes,Yes,Yes,No,"Dalian Haiyangdao Aquatic Products Group Co., Ltd. is a diversified Chinese enterprise focused on the seafood industry, encompassing seawater aquaculture, breeding, processing, storage, domestic and international sales, R&D, and supporting operations like shipbuilding and ro-ro terminals.",http://www.hydgroup.com,,,,,,,1,2,1,0,0,0,0.7121551797,6,6,"Conch, Dalian Purple Sea Urchin, Haliotis, Japonicus, Mizuhopecten Yessoensis, Mussel","Australia, Canada, China, China (North Yellow Sea), Japan, Usa"
DALIAN RICH,ID_54,China,Processing,Yes,No,Yes,Yes,Yes,Yes,Yes,"Dalian Rich Enterprise Group Co., Ltd. is a Chinese seafood company, headquartered in Dalian, Liaoning Province, that is vertically integrated across the entire seafood value chain.",http://www.richseafood.com,,,,,,,1,1,1,1,1,2,0.4680565416,7,29,"Bream, Channel Catfish, Cichlidae, Clam, Cod, Crab, Crucian Carp, Gadidae, Giant Rosenbergii, Haddock, Hake, Hehua Carp, Jellyfish, Mackerel, Octopodidae, Octopus, Oncorhynchus, Pomfret, Salmon, Scallop, Sebastes, Shrimp, Squid, Tilapia, White Shrimp, Yellow Catfish","China, Dalian, China (For Export And Domestic Sale), Dalian, China (For Export To Europe, Usa, Etc.), Dalian, China (For Export To Usa, Canada, Europe, Japan, South Korea, Russia, Australia, And Domestic Sale), Usa (Alaska), Canada, Europe, Russia, Usa (Alaska), North Atlantic, Xinjiang, China"
DALIAN TIANBAO GREEN FOODS,ID_55,China,Processing,No,No,No,Yes,Yes,No,No,"Dalian Tianbao Green Foods Co., Ltd is an export-focused, joint-stock company based in Dalian, China, specializing in the processing and export of aquatic products and agricultural goods.",http://www.cn-tianbao.com,,,,,,,1,1,1,1,1,1,0.3001929935,4,18,"Breaded Shrimp, Chum Salmon Fish, Cod, Crab, Flatfish, Gadidae, Mackerel, Oncorhynchus, Pink Salmon, Pleuronectidae, Scombridae, Shellfish, Squid, Yellowfin Sole","Dalian, Dalian, China, Europe, North America, Asia, Global Waters/Multiple Countries"
DE BOER,ID_268,Netherlands,Processing,No,Yes,No,Yes,Yes,No,No,The De Boer family operates different companies such as Ekofish or Osprey Fish and is involvedi in the industrial catch of pelagic species across Europe.,https://www.ospreyfish.com/en/,,,,,,,2,2,3,3,2,3,0.7385489151,2,6,"Gadus Morhua, Microstomus Kitt, Pleuronectes Platessa, Scophthalmus Maximus, Scophthalmus Rhombus, Solea Solea","North Sea, Norway"
DHARMA SAMUDERA,ID_56,Indonesia,Processing,No,Yes,No,Yes,Yes,Yes,Yes,"PT Dharma Samudera Fishing Industries is an integrated seafood company involved in the catching, processing, marketing, and trading of 20 species, covering fishing, processing, wholesale/distribution, retail, and foodservice activities.",https://www.dsfi.id,36.326712178,,3.706019611,4.819145733,10.599458147,2.240619342,1,2,3,1,1,2,0.5934525816,1,30,"Barramundi, Cobia, Coryphaena Hippurus, Emperor, Epinephelus, Gold Band Snapper, Grouper, Lethrinus, Lutjanus, Milk Fish, Needlefish, Octopodidae, Octopus, Parrot Fish, Pristipomoides, Rachycentron Canadum, Red Belly Fusillier, Red Snapper Bohar, Red Snapper/ Scarlet Snapper, Ruby Snapper, Scaridae, Scombridae, Sepia, Slipper Lobster, Squid, Thunnus, Tuna",Indonesia
DONGWON INDUSTRIES CO LTD,ID_57,Republic of Korea,Integrated,No,Yes,No,Yes,Yes,No,No,"Dongwon Industries is one of South Korea's largest seafood companies, primarily engaged in tuna fishing and processing. It is estimated to be the second largest global tuna harvester.",http://www.dwml.co.kr,6560.360824957,118.49751086,5.622407142,2.74100024,2847.656630669,2.437022394,2,1,3,1,1,2,0.3171428437,12,2,"Scomber, Thunnus","American Samoa, Antarctic Ocean, Atlantic Ocean, Busan, South Korea, Ecuador, Europe, Indian Ocean, Japan, New Zealand, Pacific Ocean, Senegal, United States"
DUA PUTRA,ID_58,Indonesia,Processing,No,Yes,Yes,Yes,Yes,Yes,Yes,"PT Dua Putra Utama Makmur Tbk is an integrated fishery company involved in the fishing, aquaculture, processing, wholesale, distribution, retail, and foodservice of 26 types of premium seafood species.",https://cdn.duaputra.co.id,69.264726773,,2.015378311,-8.986219284,54.863877516,13.31529754,2,1,2,1,1,1,0.6558009445,1,33,"Black Tiger Shrimp, Cob, Decapterus, Flower Shrimp, Indian Mackarel, Layur, Loliginidae, Lutjanus, Mackarel, Octopodidae, Octopus, Parastromateus Niger, Parrot Fish, Penaeus, Penaeus Monodon, Pink Shrimp, Pomfret, Red Big Eyes Snapper, Ribbon Fish, Scomberomorus, Sea Tiger Shrimp, Sepia, Sillago Fish, Spanish Mackerel, Squid, Thunnus, Trichiurus, Vannamei Shrimp, White Tiger Shrimp",Indonesia
EAST COAST SEAFOOD,ID_59,United States of America,Processing,No,Yes,No,Yes,Yes,Yes,Yes,"East Coast Seafood, a part of the East Coast Seafood Group, specializes in processing and distributing lobsters, along with other seafood species including scallops, monkfish, skate, dogfish, and salmon.",https://www.eastcoastseafood.com,,,15.191632,0.055481,,1.766202328,2,2,2,1,3,2,0.4262328198,6,12,"Atlantic Salmon, Cod, Dogfish, Haddock, Lobster, Monkfish, Perch, Scallop, Shellfish, Shrimp, Skate","Canada, China, Japan, Peru, Us, Usa"
EGERSUND GROUP AS,ID_60,Norway,Fishing and Aquaculture Gear and Equipment,No,No,No,No,No,No,No,"Egersund Group supplies trawling equipment to the global fishing and fish farming industries, and also manufactures equipment for oil spill recovery.",https://www.egersundgroup.no,,,,,,-132.578750246,2,3,3,2,1,0,0.004527692569,1,2,"Crayfish, Lobster",World
EMPRESA PESQUERA EPERVA SA,ID_61,Chile,Integrated,No,Yes,No,Yes,Yes,No,No,"Empresa Pesquera Eperva SA is an investment company with core business activities in maritime fishing operations and the exploitation of forestry resources, including timber and cellulose production.",http://www.eperva.cl/eperva,374.892507585,,-0.6613131784,-11.422032467,382.998394582,15.917018447,2,2,3,1,2,3,0.3225548015,5,6,"Anchoveta, Hake, Jack Mackerel, Mackerel, Mussel, Tuna","Africa, Antofagasta, Parinacota, Tarapaca, World"
EMPRESAS AQUACHILE SA,ID_62,Chile,Integrated,Yes,No,Yes,Yes,No,Yes,No,Empresas AquaChile S.A. is a Chilean company focused on the production and marketing of various fish products.,http://www.aquachile.com,1654.079661857,1043.879400058,11.017014765,9.931711768,982.14135406,-0.2752053394,3,2,3,0,1,2,0.6372563064,5,8,"Atlantic Salmon, Cichlidae, Coho Salmon, Oncorhynchus Kisutch, Oreochromis, Salmo Salar, Tilapia, Trout","Chile, Chile (Primarily Los Lagos, Aysén, And Magallanes Regions), Costa Rica, Latin America (Via Ownership Of Grupo Aci), Usa (Miami)"
ESPERSEN,ID_1,Denmark,Processing,No,Yes,Yes,Yes,Yes,Yes,Yes,"Espersen is a Denmark-based company specializing in processing frozen fish products, including fish blocks, fillets, special cuts, and breaded items, operating production facilities across Denmark, Lithuania, Poland, and Vietnam.",https://www.espersen.com/,,,,,,0.0655164605,3,3,3,2,2,3,0.4279929007,1,26,"Alaska Pollock, Atlantic Cod, Cichlidae, Dab, Flounder, Gadus Morhua, Greenland Halibut, Haddock, Keta Salmon, Lobster, Macruronus Novaezelandiae, Melanogrammus Aeglefinus, Pacific Cod, Pangasius, Pink Salmon, Plaice, Pollachius Pollachius, Pollachius Virens, Prawn, Rock Sole, Saithe, Salmon, Tilapia, Yellowfin Sole, Yellowtail Flounder","Denmark, Poland, United Kingdom, Vietnam"
EXPALSA,ID_63,Ecuador,Wholesale/Distribution,No,No,Yes,Yes,Yes,Yes,No,"Expalsa is a major Ecuadorian company focused on the breeding, processing, and packaging of white shrimp.",http://www.expalsa.com,,,,,,,1,1,1,0,1,1,,1,0,,Ecuador
FCF CO LTD,ID_64,Taiwan,Wholesale/Distribution,No,Yes,No,Yes,Yes,No,No,"FCF Co., Ltd. is a global seafood enterprise, headquartered in Taiwan, specializing in fishing, processing, and supply chain solutions. It is recognized as one of the world's largest tuna trading companies.",https://fcf.com.tw,,,,,,,2,2,3,1,3,3,0.7990846468,3,11,"Albacore Tuna, Bigeye Tuna, Fish, Herring, Milk Fish, Muroaji, Sardines, Skipjack Tuna, Squid, Tuna, Yellowfin Tuna","Ghana, Papua New Guinea, Taiwan"
FEED ONE CO LTD,ID_65,Japan,Feed,Yes,No,No,Yes,No,No,No,"Maruha Feed One specializes in the production and sale of various feeds, including those for animal, aquatic, lab animal, and beekeeping sectors. It also handles the production, processing, and sale of livestock and aquatic products, with international operations in Vietnam and India, and sales of related equipment.",https://www.feed-one.co.jp,2170.608557577,142.336171241,2.469135663,10.517129461,393.466652417,1.870657098,1,2,2,0,1,2,1,2,2,"Pagrus Major, Seriola Quinqueradiata","India, Japan"
FF SKAGEN AS,ID_66,Denmark,Feed,Yes,No,No,Yes,No,No,No,"FF Skagen manufactures fishmeal and fish oil for the global aquaculture, agriculture, and pet food industries.",http://www.ffskagen.com,,,,,,0.5192888778,1,2,3,1,2,3,0.5842477214,3,5,"Clupea Harengus, Salmon, Shrimp, Trout","Danish Waters, East And Northwest Of Ireland, North Atlantic, Danish Waters, North Atlantic, Denmark"
FIORITAL SPA,ID_67,Italy,Integrated,No,No,No,Yes,Yes,No,No,"The Company is a wholesaler and retailer of fish and seafood products, specializing in prepared items such as fish soups, stews, chowders, fishcakes, crabcakes, and shrimp cakes.",http://fiorital.com,,,,,,1.983637263,1,2,1,1,2,2,0.5845815,4,83,"Alalunga, Alletterato, Amberjack, American Lobster, American Monkfish, Anguilla, Anguillidae, Atlantic Grouper, Atlantic Mullet, Atlantic Scallop, Atlantic Scorpion Fish, Atlantic Snapper, Atlantic Sole, Atlantic Turbot, Bigeye Tuna, Black Scorpion Fish, Boga, Bonito, Brotola, Busbana, Cephalus, Clupeidae, Concave Oyster, Crab, Eastern Red Mullet, Flounder, Gallinella, Giant Squid, Golden Grouper, Granciporro Atlantico, Grongo, Grouper, Hake, Halibut, Herring, Lampuga, Lanzardo, Latterino, Lobster, Mackerel, Mako, Molva, Moscardino, Mud Mullet, Murmur, Mussel, Needlefish, Northern Cod, Octopodidae, Octopus, Pagello, Palombo, Pangasius, Peter's Fish, Pink Scorpion Fish, Pink Shrimp, Plaice, Prawn, Rainbow Trout, Red Mullet, Saithe, Salmo Salar, Salmon, Salpa, Sarago, Sardina, Scallop, Scorpion Fish, Seabass, Soaso, Sole, Southern Lobster, Sparus Aurata, Spider Crab, Spinarolo, Squid, Swordfish, Toad, Tombarello, Turbot, Vongola Verace, Yellowfin Tuna","Ecuador, Italy, Norway, [Unknown Asc Certified Farms]"
FISHECUADOR,ID_277,Ecuador,Processing,No,No,No,Yes,Yes,No,No,FishEcuador S.A. is an Ecuadorian tuna company based in Guayaquil that operates in seafood preparation and packaging and is a significant Eastern Pacific purse‑seine tuna harvester.,no website,,,,,,,1,2,2,1,2,2,0.07138452213,2,4,"Scombridae, Shellfish","Eastern Pacific Ocean, Ecuador"
FLORIDIENNE,ID_68,Belgium,Processing,No,No,No,Yes,No,Yes,Yes,"Floridienne is a holding company with three segments (chemistry, food, and life sciences). Its Food Division specializes in the production and marketing of gourmet food products, including snails, scallops, and seafood salads.",http://www.floridienne.be,754.835903199,,9.181585494,4.016241515,1262.839183431,2.388670118,1,1,2,1,1,1,0.3631418456,5,7,"Herring, Mackerel, Mussel, Salmo Salar, Scallops, Shellfish","Belgium, France, Lithuania, Romania, Turkey"
FOR GROUP,ID_69,Russian Federation,Processing,No,Yes,No,Yes,Yes,No,No,For Group is a conglomerate of companies involved in fishing operations throughout the northwest region of Russia.,http://www.for-group.ru,,,,,,,1,1,2,1,2,1,0.7254805969,6,19,"Atlantic Herring, Atlantic Mackerel, Blue Whiting, Blue Wolffish, Capelin, Clupea Harengus, Cod, Gadus Morhua, Gr����nl��nd Halibut, Haddock, Mallotus Villosus, Micromesistius Poutassou, Plaice, Red Fish, Scomber Scombrus, Spotted Wolffish","Atlantic Ocean, Barrents Sea, Northeast Atlantic, Norwegian Sea, Greenland Sea, Barents Sea, Russia's Western And Northern Fishery Basins, Russia's Western And Northern Fishery Basins, High Seas, Russia, Europe, Africa, Asia"
FRABELLE GROUP,ID_278,Philippines,Integrated,No,Yes,Yes,Yes,Yes,No,No,"Frabelle Group is a diversified Philippine conglomerate known for its deep-sea fishing and seafood operations that is also involved in food manufacturing, cold chain, shipbuilding, energy, and real estate. It operates across the value chain from harvesting and processing to logistics and property development.",http://frabelle.com/,,,,,,,1,1,2,2,2,2,0.7264830808,3,4,"Chanos Chanos, Decapterus, Katsuwonus Pelamis, Thunnus Albacares","Papua New Guinea, Philippines, Western And Central Pacific Ocean"
FRINSA DEL NOROESTE,ID_70,Spain,Processing,No,Yes,No,Yes,Yes,No,No,"Frinsa Del Noroeste is a Spanish manufacturer and distributor of canned seafood, notably ranking among Europe's largest producers of canned tuna and shellfish.",https://en.grupofrinsa.com,,,,30.368,,,2,3,3,2,2,3,0.3701058407,3,18,"Bonito, Clam, Cod, Katsuwonus Pelamis, Mackerel, Mussel, Octopodidae, Octopus, Sardina Pilchardus, Sardines, Scallops, Scomber Colias, Shellfish, Squid, Thunnus Alalunga, Thunnus Albacares, Thunnus Obesus, Tuna","Atlantic Ocean, Cantabrian Sea, Indian Ocean"
FUHUANG GROUP,ID_71,China,Processing,No,No,Yes,Yes,Yes,Yes,No,"Fuhuang Group is a Chinese conglomerate operating across multiple industries, including steel structure manufacturing, wood production, and aquatic product processing.",http://www.szspjt.com,,,,,,,1,1,1,0,1,1,0.6578492577,6,8,"Basa, Crayfish, Ictalurus Punctatus, Lobster, Open Back Pangasius, Shrimp, Silver Carp, Whitebait Fish","China, China (Anhui, Jiangsu, Jiangxi, Guangdong), Eu, Korea, Russia, Usa"
FUJIAN MINWEI INDUSTRY CO LTD,ID_72,China,Processing,No,No,No,Yes,Yes,Yes,No,"Fujian Minwei Industry Co., Ltd. is a Chinese fishery company focused on processing and exporting seafood products to international markets.",https://www.minwei.cn,,,,,,,2,1,1,1,1,1,0.4232659614,3,9,"Cod, Jelly, Mackerel, Nori, Perch, Sailfish, Sea Bass, Snapper, Yellow Croaker","China, China, Thailand, Singapore, Malaysia, Philippines, Taiwan, Hong Kong, Fujian, China"
FUJIAN TIANMA SCIENCE AND TECHNOLOGY GROUP CO LTD,ID_73,China,Feed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Fujian TianMa Science and Technology Group Co., Ltd. is a large, modern enterprise focused on integrated fishery and animal husbandry operations, encompassing special aquaculture, marine food, marine seed industries, and livestock production, including pigs, meat, and poultry.",http://www.jolma.cn,810.30127332,404.127280895,3.737970997,1.170601461,1567.214306196,8.414620565,1,1,1,1,1,1,0.6243881505,6,16,"Anguilla, Bluefish, Cichlidae, Crab, Crayfish, Golden Pomfret, Grouper, Mandarin, Roach, Shrimp, Tilapia, Tongue Sole, Turbot, Yellow Catfish, Yellow Croaker","Fujian, China, Guangdong, China, Guangxi, China, Hubei, China, Japan, Jiangxi, China"
FUJIAN ZHENGGUAN FISHERIES,ID_279,China,Feed,Yes,Yes,No,Yes,No,No,No,Chinese firm Fujian Zhengguan Fishery Development is a major Antarctic krill operator .,No website,,,,,,,1,1,1,2,2,2,1,2,1,Euphausia Superba,"Antarctica, China"
FUKUICHI,ID_280,Japan,Fishing,No,Yes,Yes,Yes,Yes,No,Yes,"Fukuichi Fishery Co., Ltd. is a Japanese marine product company specializing in the catching, processing, and direct distribution of seafood, particularly known for sourcing and supplying tuna and mackerel to global customers.",https://fukuichi-world.jp/,,,,,,,1,1,2,2,1,2,0.9062358714,2,11,"Beryx Splendens, Branchiostegus Japonicus, Katsuwonus Pelamis, Pectinidae, Thunnus Alalunga, Thunnus Albacares, Thunnus Maccoyii, Thunnus Obesus, Thunnus Thynnus, Trichiurus Lepturus","Japan, Pacific Ocean"
FUQING ZHAOHUA AQUATIC FOOD,ID_74,China,Processing,No,No,Yes,Yes,Yes,Yes,No,"The company primarily produces and sells quick-frozen food, specializing in processed and frozen Penaeus vannamei (Pacific white shrimp) and abalone series. It also manages the import and export of various commodities.",http://zhaohua.shicaizhanlan.com,,,,,,,1,1,1,0,0,0,0.5884781219,2,6,"Abalone, Dalian Sea Cucumber, Nine Section Shrimp, Shellfish, Vannamei Shrimp","Fuqing, Fujian, China, Fuzhou"
FUZHOU HONGLONG OCEAN FISHING,ID_281,China,Fishing,No,Yes,Yes,Yes,Yes,No,No,"Fuzhou Honglong Ocean Fishing Co., Ltd is a large Chinese distant‑water fishing company",No website ,,,,,,,1,1,1,1,1,1,0.01538668255,4,2,Shellfish,"Indian Ocean, Northwest Indian Ocean, South Pacific Ocean, Southwest Atlantic Ocean"
GENERAL OYSTER,ID_75,Japan,Foodservice,No,No,Yes,Yes,Yes,Yes,No,The General Oyster Company focuses solely on the cultivation and distribution of oysters.,https://www.g-oyster.com,25.038705562,23.51417358,0.9127402101,-9.71538624,46.268363978,-4.178945283,1,1,1,0,2,1,0.1524991803,4,1,Oyster,"Japan, Japan (Nationwide), Japan (Sourced From Japanese Archipelago And Domestic Farms), Kume Island, Okinawa, Japan"
GIDROSTROY,ID_76,Russian Federation,Fishing,No,Yes,Yes,Yes,Yes,No,No,"Gidrostroy is a major fish product company in the Russian Far East, focusing on the production and distribution of frozen fish for both local and global markets.",https://gidrostroy.com,,,,,,,2,1,1,1,1,2,0.6365878134,8,17,"Char, Clupea, Cod, Coho Salmon, Flounder, Gadus, Gadus Chalcogrammus, Greenling, Herring, Ommastrephidae, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Pink Salmon, Salmon, Sockeye Salmon, Squid","Iturup Island, Russia, Kuril Islands, Russia, Russia, Russian Far East, Sakhalin Island, Russia, Sea Of Japan, Sea Of Okhotsk, Bering Sea, Sea Of Okhotsk, Russia, Shikotan Island, Russia"
GLOBAL FOOD CORP,ID_77,Japan,Wholesale/Distribution,No,No,No,Yes,Yes,No,No,"The Global Food Corporation plans, manufactures, and sells processed food ingredients, focusing on commercial-grade Japanese cuisine products, including delicacies and bonito.",https://gfc-jp.com,,,3.474717,0.312682,,0.8131567965,1,1,1,1,1,1,0.5148514349,5,28,"Alaska Pollock, Alfonsino, Ankou, Ayu, Blowfish, Bluefish, Bream, Cod, Conger Eel, Herring, Jellyfish, Lobster, Mackerel, Mussel, Octopodidae, Octopus, Red Fish, Salmon, Sardines, Scallop, Shellfish, Shrimp, Squid, Whale, Yellowtail","China, Japan, Senegal, Us, Vietnam"
